name,delivery_name
amit mishra,A Mishra
nicholas pooran,N Pooran
romario shepherd,R Shepherd
daniel sams,Basil Thampi
swapnil singh,Swapnil Singh
yudhvir singh charak,Yuvraj Singh
prerak mankad,PN Mankad
yash thakur,Yash Thakur
naveen-ul-haq,Naveen-ul-Haq
jaydev unadkat,JD Unadkat
jhye richardson,JA Richardson
raghav goyal,Yash Dayal
cameron green,KA Jamieson
vishnu vinod,Vishnu Vinod
duan jansen,D Jansen
shams mulani,SZ Mulani
harpreet singh bhatia,Harpreet Singh
shivam singh,Shivam Singh
vidhwath kaverappa,V Kaverappa
mohit rathee,Mohit Rathee
sam curran,TK Curran
sikandar raza,Sikandar Raza
jason holder,JO Holder
adam zampa,A Zampa
abdul razzaq,Abdul Samad
akash vashist,Akash Madhwal
donovan ferreira,D Ferreira
